t_h,dT_K
20.3000,-0.001882
20.3167,-0.001878
20.3333,-0.001874
20.3500,-0.001869
20.3667,-0.001865
20.3833,-0.001861
20.4000,-0.001856
20.4167,-0.001851
20.4333,-0.001847
20.4500,-0.001844
20.4667,-0.001839
20.4833,-0.001835
20.5000,-0.001830
20.5167,-0.001827
20.5333,-0.001823
20.5500,-0.001818
20.5667,-0.001814
20.5833,-0.001810
20.6000,-0.001806
20.6167,-0.001802
20.6333,-0.001798
20.6500,-0.001794
20.6667,-0.001790
20.6833,-0.001786
20.7000,-0.001782
20.7167,-0.001778
20.7333,-0.001773
20.7500,-0.001769
20.7667,-0.001765
20.7833,-0.001762
20.8000,-0.001758
20.8167,-0.001754
20.8333,-0.001750
20.8500,-0.001746
20.8667,-0.001742
20.8833,-0.001738
20.9000,-0.001734
20.9167,-0.001730
20.9333,-0.001726
20.9500,-0.001723
20.9667,-0.001719
20.9833,-0.001715
21.0000,-0.001712
21.0167,-0.001707
21.0333,-0.001704
21.0500,-0.001700
21.0667,-0.001697
21.0833,-0.001692
21.1000,-0.001688
